DrugbankID	UniprotID	HGNC_ID	HGNC_Name	CID	CHEMBL	Entrez_ID	Entrez_Gene		
DB00361	P08183	HGNC:40	ABCB1	CID000060779	CHEMBL1200655|CHEMBL607994	5243	ABCB1
DB00363	P08183	HGNC:40	ABCB1	CID000002818	CHEMBL42|CHEMBL538973	5243	ABCB1
DB00371	P08183	HGNC:40	ABCB1	CID000004064	CHEMBL979	5243	ABCB1
DB00373	P08183	HGNC:40	ABCB1	CID000033624	CHEMBL1200870|CHEMBL499	5243	ABCB1
DB00381	P08183	HGNC:40	ABCB1	CID000002162	CHEMBL1200984|CHEMBL1491	5243	ABCB1
DB00390	P08183	HGNC:40	ABCB1	CID000030322		5243	ABCB1
DB00396	P08183	HGNC:40	ABCB1	CID000005994	CHEMBL103	5243	ABCB1
DB00398	P08183	HGNC:40	ABCB1	CID000216239	CHEMBL1200485|CHEMBL1336	5243	ABCB1
DB00401	P08183	HGNC:40	ABCB1	CID000004499	CHEMBL1726|CHEMBL441428	5243	ABCB1
DB00421	P08183	HGNC:40	ABCB1	CID000005833	CHEMBL1393	5243	ABCB1
DB00428	P08183	HGNC:40	ABCB1	CID000029327		5243	ABCB1
DB00440	P08183	HGNC:40	ABCB1	CID000005578	CHEMBL1200915|CHEMBL1201080|CHEMBL2110367|CHEMBL22	5243	ABCB1
DB00441	P08183	HGNC:40	ABCB1	CID000060749	CHEMBL1637|CHEMBL888	5243	ABCB1
DB00443	P08183	HGNC:40	ABCB1	CID000009782	CHEMBL632	5243	ABCB1
DB00448	P08183	HGNC:40	ABCB1	CID000003883	CHEMBL480	5243	ABCB1
DB00451	P08183	HGNC:40	ABCB1	CID000005819	CHEMBL1200785|CHEMBL1624|CHEMBL2103741	5243	ABCB1
DB00455	P08183	HGNC:40	ABCB1	CID000003957	CHEMBL998	5243	ABCB1
DB00457	P08183	HGNC:40	ABCB1	CID000004893	CHEMBL1558|CHEMBL2	5243	ABCB1
DB00458	P08183	HGNC:40	ABCB1	CID000003696	CHEMBL11|CHEMBL1692	5243	ABCB1
DB00468	P08183	HGNC:40	ABCB1	CID000008549	CHEMBL2096627|CHEMBL387326	5243	ABCB1
DB00470	P08183	HGNC:40	ABCB1	CID000016078	CHEMBL465	5243	ABCB1
DB00472	P08183	HGNC:40	ABCB1	CID000003386	CHEMBL1201082|CHEMBL41	5243	ABCB1
DB00477	P08183	HGNC:40	ABCB1	CID000002726	CHEMBL1713|CHEMBL71	5243	ABCB1
DB00480	P08183	HGNC:40	ABCB1	CID000216326	CHEMBL848	5243	ABCB1
DB00490	P08183	HGNC:40	ABCB1	CID000002477	CHEMBL1200399|CHEMBL49	5243	ABCB1
DB00495	P08183	HGNC:40	ABCB1	CID000035370	CHEMBL129	5243	ABCB1
DB00501	P08183	HGNC:40	ABCB1	CID000002756	CHEMBL1201051|CHEMBL30	5243	ABCB1
DB00502	P08183	HGNC:40	ABCB1	CID000003559	CHEMBL2096643|CHEMBL54|CHEMBL545608	5243	ABCB1
DB00503	P08183	HGNC:40	ABCB1	CID000392622	CHEMBL163	5243	ABCB1
DB00508	P08183	HGNC:40	ABCB1	CID000005568	CHEMBL1201102|CHEMBL570	5243	ABCB1
DB00514	P08183	HGNC:40	ABCB1	CID005360696	CHEMBL1201004|CHEMBL1256818|CHEMBL52440	5243	ABCB1
DB00515	P08183	HGNC:40	ABCB1	CID000002767	CHEMBL11359|CHEMBL2068237|CHEMBL2068531|CHEMBL273943|CHEMBL436449	5243	ABCB1
DB00518	P08183	HGNC:40	ABCB1	CID000002082	CHEMBL1483	5243	ABCB1
DB00520	P08183	HGNC:40	ABCB1	CID000123623		5243	ABCB1
DB00523	P08183	HGNC:40	ABCB1	CID000444795	CHEMBL38	5243	ABCB1
DB00530	P08183	HGNC:40	ABCB1	CID000176870	CHEMBL1079742|CHEMBL553	5243	ABCB1
DB00531	P08183	HGNC:40	ABCB1	CID000002907	CHEMBL1200796|CHEMBL32520|CHEMBL88	5243	ABCB1
DB00537	P08183	HGNC:40	ABCB1	CID000002764	CHEMBL1077975|CHEMBL1202|CHEMBL8	5243	ABCB1
DB00539	P08183	HGNC:40	ABCB1	CID003005572	CHEMBL1200675|CHEMBL1655	5243	ABCB1
DB00541	P08183	HGNC:40	ABCB1	CID000005978	CHEMBL90555	5243	ABCB1
DB00555	P08183	HGNC:40	ABCB1	CID000003878	CHEMBL741	5243	ABCB1
DB00563	P08183	HGNC:40	ABCB1	CID000126941	CHEMBL2096644|CHEMBL34259	5243	ABCB1
DB00564	P08183	HGNC:40	ABCB1	CID000002554	CHEMBL108	5243	ABCB1
DB00570	P08183	HGNC:40	ABCB1			5243	ABCB1
DB00571	P08183	HGNC:40	ABCB1	CID000004946	CHEMBL1671|CHEMBL27	5243	ABCB1
DB00575	P08183	HGNC:40	ABCB1	CID000002803	CHEMBL134|CHEMBL1705	5243	ABCB1
DB00584	P08183	HGNC:40	ABCB1	CID005362032		5243	ABCB1
DB00585	P08183	HGNC:40	ABCB1	CID003033637	CHEMBL653	5243	ABCB1
DB00586	P08183	HGNC:40	ABCB1	CID000003032	CHEMBL1034|CHEMBL1200804|CHEMBL139	5243	ABCB1
DB00590	P08183	HGNC:40	ABCB1	CID000003157	CHEMBL1200561|CHEMBL707	5243	ABCB1
DB00602	P08183	HGNC:40	ABCB1	CID046936176		5243	ABCB1
DB00608	P08183	HGNC:40	ABCB1	CID000002719	CHEMBL1326|CHEMBL1669|CHEMBL2095223|CHEMBL58510|CHEMBL76	5243	ABCB1
DB00619	P08183	HGNC:40	ABCB1	CID000005291	CHEMBL1642|CHEMBL941	5243	ABCB1
DB00622	P08183	HGNC:40	ABCB1	CID000004473	CHEMBL1200326|CHEMBL1484	5243	ABCB1
DB00623	P08183	HGNC:40	ABCB1	CID000003372	CHEMBL1200792|CHEMBL726	5243	ABCB1
DB00624	P08183	HGNC:40	ABCB1	CID000006013	CHEMBL386630	5243	ABCB1
DB00635	P08183	HGNC:40	ABCB1	CID000005865	CHEMBL635	5243	ABCB1
DB00637	P08183	HGNC:40	ABCB1	CID000002247	CHEMBL296419	5243	ABCB1
DB00641	P08183	HGNC:40	ABCB1	CID006419910		5243	ABCB1
DB00643	P08183	HGNC:40	ABCB1	CID000004030	CHEMBL685	5243	ABCB1
DB00655	P08183	HGNC:40	ABCB1	CID000005870	CHEMBL1405	5243	ABCB1
DB00656	P08183	HGNC:40	ABCB1	CID000005533	CHEMBL1200798|CHEMBL621	5243	ABCB1
DB00661	P08183	HGNC:40	ABCB1	CID000002520	CHEMBL1280|CHEMBL6966	5243	ABCB1
DB00669	P08183	HGNC:40	ABCB1	CID000005358	CHEMBL1201150|CHEMBL128	5243	ABCB1
DB00672	P08183	HGNC:40	ABCB1	CID000002727	CHEMBL498	5243	ABCB1
DB00675	P08183	HGNC:40	ABCB1	CID002733525	CHEMBL786|CHEMBL83	5243	ABCB1
DB00678	P08183	HGNC:40	ABCB1	CID000003961	CHEMBL191|CHEMBL277496|CHEMBL367465|CHEMBL995	5243	ABCB1
DB00683	P08183	HGNC:40	ABCB1	CID000004192	CHEMBL1200420|CHEMBL2106922|CHEMBL655	5243	ABCB1
DB00688	P08183	HGNC:40	ABCB1	CID005281078	CHEMBL1200955|CHEMBL1456	5243	ABCB1
DB00690	P08183	HGNC:40	ABCB1	CID000003393	CHEMBL1200602|CHEMBL968	5243	ABCB1
